肖申克的救赎 The Shawshank Redemption(1994),弗兰克·德拉邦特,弗兰克·德拉邦特/斯蒂芬·金,蒂姆·罗宾斯/摩根·弗里曼/鲍勃·冈顿/威廉姆·赛德勒/克兰西·布朗/吉尔·贝罗斯/马克·罗斯顿/詹姆斯·惠特摩/杰弗里·德曼/拉里·布兰登伯格/尼尔·吉恩托利/布赖恩·利比/大卫·普罗瓦尔/约瑟夫·劳格诺/祖德·塞克利拉/保罗·麦克兰尼/芮妮·布莱恩/阿方索·弗里曼/V·J·福斯特/弗兰克·梅德拉诺/马克·迈尔斯/尼尔·萨默斯/耐德·巴拉米/布赖恩·戴拉特/唐·麦克马纳斯,剧情/犯罪,美国,英语,1994-09-10(多伦多电影节)/1994-10-14(美国),142分钟,月黑高飞(港) / 刺激1995(台) / 地狱诺言 / 铁窗岁月 / 消香克的救赎,tt0111161,9.7
霸王别姬(1993),陈凯歌,芦苇/李碧华,张国荣/张丰毅/巩俐/葛优/英达/蒋雯丽/吴大维/吕齐/雷汉/尹治/马明威/费振翔/智一桐/李春/赵海龙/李丹/童弟/沈慧芬/黄斐/徐杰,剧情/爱情/同性,中国大陆 / 中国香港,汉语普通话,1993-07-26(中国大陆)/1993-01-01(中国香港),171分钟,再见，我的妾 / Farewell My Concubine / Adieu Ma Concubine,tt0106332,9.6
阿甘正传 Forrest Gump(1994),罗伯特·泽米吉斯,艾瑞克·罗斯/温斯顿·格鲁姆,汤姆·汉克斯/罗宾·怀特/加里·西尼斯/麦凯尔泰·威廉逊/莎莉·菲尔德/海利·乔·奥斯蒙/迈克尔·康纳·亨弗里斯/哈罗德·G·赫瑟姆/山姆·安德森/伊俄涅·M·特雷奇/彼得·道博森/希博汗·法隆/伊丽莎白·汉克斯/汉娜·豪尔/克里斯托弗·琼斯/罗布·兰德里/杰森·麦克奎尔/桑尼·施罗耶/艾德·戴维斯/丹尼尔C.斯瑞派克/大卫·布里斯宾/德博拉·麦克蒂尔/艾尔·哈林顿/阿非莫·奥米拉/约翰·沃德斯塔德/迈克尔·伯吉斯/埃里克·安德伍德/拜伦·明斯/斯蒂芬·布吉格沃特/约翰·威廉·高尔特/希拉里·沙普兰/伊莎贝尔·罗斯/理查德·达历山德罗/迪克·史迪威/迈克尔-杰斯/杰弗里·布莱克/瓦妮莎·罗斯/迪克·卡维特/马拉·苏查雷特扎/乔·阿拉斯奇/W·本森·泰瑞,剧情/爱情,美国,英语,1994-06-23(洛杉矶首映)/1994-07-06(美国),142分钟,福雷斯特·冈普,tt0109830,9.5
这个杀手不太冷 Léon(1994),吕克·贝松,吕克·贝松,让·雷诺/娜塔莉·波特曼/加里·奥德曼/丹尼·爱罗/彼得·阿佩尔/迈克尔·巴达鲁科/艾伦·格里尼/伊丽莎白·瑞根/卡尔·马图斯维奇/弗兰克·赛格/麦温/乔治·马丁/罗伯特·拉萨多/亚当·布斯奇/马里奥·托迪斯科/萨米·纳塞利,剧情/动作/犯罪,法国 / 美国,英语 / 意大利语 / 法语,1994-09-14(法国),110分钟(剧场版), The Professional,tt0110413,9.4
泰坦尼克号 Titanic(1997),詹姆斯·卡梅隆,詹姆斯·卡梅隆,莱昂纳多·迪卡普里奥/凯特·温丝莱特/比利·赞恩/凯西·贝茨/弗兰西丝·费舍/格劳瑞亚·斯图尔特/比尔·帕克斯顿/伯纳德·希尔/大卫·沃纳/维克多·加博/乔纳森·海德/苏茜·爱米斯/刘易斯·阿伯内西/尼古拉斯·卡斯柯恩/阿那托利·萨加洛维奇/丹尼·努齐/杰森·贝瑞/伊万·斯图尔特/艾恩·格拉法德/乔纳森·菲利普斯/马克·林赛·查普曼/理查德·格拉翰/保罗·布赖特威尔/艾瑞克·布里登/夏洛特·查顿/博纳德·福克斯/迈克尔·英塞恩/法妮·布雷特/马丁·贾维斯/罗莎琳·艾尔斯/罗切尔·罗斯/乔纳森·伊万斯-琼斯/西蒙·克雷恩/爱德华德·弗莱彻/斯科特·安德森/马丁·伊斯特/克雷格·凯利/格雷戈里·库克/利亚姆·图伊/詹姆斯·兰开斯特/艾尔莎·瑞雯/卢·帕尔特/泰瑞·佛瑞斯塔/凯文·德·拉·诺伊,剧情/爱情/灾难,美国 / 墨西哥 / 澳大利亚 / 加拿大,英语 / 意大利语 / 德语 / 俄语,1998-04-03(中国大陆)/1997-11-01(东京电影节)/1997-12-19(美国),194分钟,铁达尼号(港/台),tt0120338,9.4
美丽人生 La vita è bella(1997),罗伯托·贝尼尼,温琴佐·切拉米/罗伯托·贝尼尼,罗伯托·贝尼尼/尼可莱塔·布拉斯基/乔治·坎塔里尼/朱斯蒂诺·杜拉诺/赛尔乔·比尼·布斯特里克/玛丽萨·帕雷德斯/霍斯特·布赫霍尔茨/利迪娅·阿方西/朱利亚娜·洛约迪切/亚美利哥·丰塔尼/彼得·德·席尔瓦/弗朗西斯·古佐/拉法埃拉·莱博罗尼/克劳迪奥·阿方西/吉尔·巴罗尼/马西莫·比安奇/恩尼奥·孔萨尔维/吉安卡尔洛·科森蒂诺/阿伦·克雷格/汉尼斯·赫尔曼/弗兰科·梅斯科利尼/安东尼奥·普雷斯特/吉娜·诺维勒/理查德·塞梅尔/安德烈提多娜/迪尔克·范登贝格/奥梅罗·安东努蒂,剧情/喜剧/爱情/战争,意大利,意大利语 / 德语 / 英语,2020-01-03(中国大陆)/1997-12-20(意大利),116分钟,一个快乐的传说(港) / Life Is Beautiful,tt0118799,9.6
千与千寻 千と千尋の神隠し(2001),宫崎骏,宫崎骏,柊瑠美/入野自由/夏木真理/菅原文太/中村彰男/玉井夕海/神木隆之介/内藤刚志/泽口靖子/我修院达也/大泉洋/小林郁夫/上条恒彦/小野武彦,剧情/动画/奇幻,日本,日语,2019-06-21(中国大陆)/2001-07-20(日本),125分钟,神隐少女(台) / 千与千寻的神隐 / Spirited Away / A Voyage of Chihiro / Sen to Chihiro no kamikakushi,tt0245429,9.4
辛德勒的名单 Schindler's List(1993),史蒂文·斯皮尔伯格,托马斯·肯尼利/斯蒂文·泽里安,连姆·尼森/本·金斯利/拉尔夫·费因斯/卡罗琳·古多尔/乔纳森·萨加尔/艾伯丝·戴维兹/马尔戈萨·格贝尔/马克·伊瓦涅/碧翠斯·马科拉/安德烈·瑟韦林/弗里德里希·冯·图恩/克齐斯茨托夫·拉夫特/诺伯特·魏塞尔/维斯瓦夫·科马萨,剧情/历史/战争,美国,英语 / 希伯来语 / 德语 / 波兰语,1993-11-30(华盛顿首映)/1994-02-04(美国),195分钟,舒特拉的名单(港) / 辛德勒名单,tt0108052,9.5
盗梦空间 Inception(2010),克里斯托弗·诺兰,克里斯托弗·诺兰,莱昂纳多·迪卡普里奥/约瑟夫·高登-莱维特/艾利奥特·佩吉/汤姆·哈迪/渡边谦/迪利普·劳/基里安·墨菲/汤姆·贝伦杰/玛丽昂·歌迪亚/皮特·波斯尔思韦特/迈克尔·凯恩/卢卡斯·哈斯/李太力/克莱尔·吉尔蕾/马格努斯·诺兰/泰勒·吉蕾/乔纳森·吉尔/水源士郎/冈本玉二/厄尔·卡梅伦/瑞恩·海沃德/米兰达·诺兰/拉什·费加/蒂姆·科勒赫/妲露拉·莱莉,剧情/科幻/悬疑/冒险,美国 / 英国,英语 / 日语 / 法语,2010-09-01(中国大陆)/2020-08-28(中国大陆重映)/2010-07-16(美国),148分钟,潜行凶间(港) / 全面启动(台) / 奠基 / 心灵犯案 / 记忆迷阵 / 记忆魔方,tt1375666,9.3
忠犬八公的故事 Hachi: A Dog's Tale(2009),拉斯·霍尔斯道姆,斯蒂芬·P·林赛/新藤兼人,理查·基尔/萨拉·罗默尔/琼·艾伦/罗比·萨布莱特/艾瑞克·阿瓦利/田川洋行/杰森·亚历山大/罗伯特·卡普荣,剧情,美国 / 英国,英语 / 日语,2009-06-13(西雅图电影节)/2010-03-12(英国),93分钟,秋田犬八千(港) / 忠犬小八(台) / 忠犬传奇,tt1028532,9.4
星际穿越 Interstellar(2014),克里斯托弗·诺兰,乔纳森·诺兰/克里斯托弗·诺兰,马修·麦康纳/安妮·海瑟薇/杰西卡·查斯坦/麦肯吉·弗依/卡西·阿弗莱克/迈克尔·凯恩/马特·达蒙/蒂莫西·柴勒梅德/艾伦·伯斯汀/约翰·利思戈/韦斯·本特利/大卫·吉亚西/比尔·欧文/托弗·戈瑞斯/科莱特·沃夫/弗朗西斯·X.麦卡蒂/安德鲁·博尔巴/乔什·斯图沃特/莱雅·卡里恩斯/利亚姆·迪金森/杰夫·赫普内尔/伊莱耶斯·加贝尔/布鲁克·史密斯/大卫·奥伊罗/威廉姆·德瓦内/拉什·费加/格里芬·弗雷泽/弗洛拉·诺兰,剧情/科幻/冒险,美国 / 英国 / 加拿大,英语,2014-11-12(中国大陆)/2020-08-02(中国大陆重映)/2014-11-07(美国),169分钟,星际启示录(港) / 星际效应(台) / 星际空间 / 星际之间 / 星际远航 / 星际 / Flora's Letter,tt0816692,9.3
楚门的世界 The Truman Show(1998),彼得·威尔,安德鲁·尼科尔,金·凯瑞/劳拉·琳妮/艾德·哈里斯/诺亚·艾默里奇/娜塔莎·麦克艾霍恩,剧情/科幻,美国,英语,1998-06-05(美国),103分钟,真人Show(港) / 真人戏 / 真人世界 / 楚门秀 / 真人秀,tt0120382,9.3
海上钢琴师 La leggenda del pianista sull'oceano(1998),朱塞佩·托纳多雷,亚利桑德罗·巴里克/朱塞佩·托纳多雷,蒂姆·罗斯/普路特·泰勒·文斯/比尔·努恩/克兰伦斯·威廉姆斯三世/梅兰尼·蒂埃里/皮特·沃恩/尼尔·奥布赖恩/阿尔贝托·巴斯克斯/加布里埃莱·拉维亚/科里·巴克/西德尼·科尔/Luigi De Luca/尼古拉·迪·平托/费米·依鲁福祖/伊斯顿·盖奇/凯文·麦克纳利/布莱恩·普林格/沙拉·鲁宾/希思科特·威廉姆斯/阿妮妲·扎格利亚/安吉洛·迪洛雷塔,剧情/音乐,意大利,英语 / 法语 / 意大利语,2019-11-15(中国大陆)/1998-10-28(意大利),165分钟,声光伴我飞(港) / 一九零零的传奇 / 1900海上钢琴师 / 传奇1900 / The Legend of 1900 / The Legend Of The Pianist On The Ocean,tt0120731,9.3
三傻大闹宝莱坞 3 Idiots(2009),拉吉库马尔·希拉尼,维德胡·维诺德·乔普拉/拉吉库马尔·希拉尼/阿希贾特·乔希,阿米尔·汗/卡琳娜·卡普尔/马达范/沙尔曼·乔希/奥米·瓦依达/博曼·伊拉尼/莫娜·辛格/拉杰夫·拉宾德拉纳特安,剧情/喜剧/爱情/歌舞,印度,印地语 / 乌尔都语 / 英语,2011-12-08(中国大陆)/2009-12-25(印度),171分钟(印度),三个傻瓜(台) / 作死不离3兄弟(港) / 三个白痴 / 三个傻蛋 / 三个呆瓜 / 三生万悟 / 寻找兰彻 / Three Idiots,tt1187043,9.2
机器人总动员 WALL·E(2008),安德鲁·斯坦顿,安德鲁·斯坦顿/吉姆·里尔顿/彼特·道格特,本·贝尔特/艾丽莎·奈特/杰夫·格尔林/佛莱德·威拉特/西格妮·韦弗/MacInTalk/约翰·拉岑贝格/凯茜·纳基麦/泰迪·牛顿/鲍伯·伯根/洛丽·理查德森/吉姆·瓦德/彼特·道格特/安德鲁·斯坦顿/杰夫·皮金/约翰·齐甘/米凯·麦高万/雪莉·琳恩/克莱特·惠特克/唐纳德·富利洛夫/罗里·艾伦/杰斯·哈梅尔/拉瑞恩·纽曼/扬·拉布森/保罗·伊丁,科幻/动画/冒险,美国,英语,2008-06-27(美国),98分钟,太空奇兵·威E(港) / 瓦力(台) / 星际总动员 / 地球废品分装员 / 机器人瓦力 / walle,tt0910970,9.3
放牛班的春天 Les choristes(2004),克里斯托夫·巴拉蒂,乔治·沙普罗/勒·惠勒/诺埃-诺尔/克里斯托夫·巴拉蒂/菲利普·洛佩斯-屈瓦尔,热拉尔·朱尼奥/让-巴蒂斯特·莫尼耶/弗朗索瓦·贝莱昂/凯德·麦拉德/让-保罗·博奈雷/玛丽·布奈尔/马科森斯·珀林/格雷戈里·加迪诺尔/托马斯·布伦门塔尔/西里尔·伯尔尼科特/西蒙·法戈特/泰奥杜尔·卡雷-卡赛尼/菲利普·杜·詹纳兰德/Carole Weiss/埃里克·德斯玛莱茨/狄迪尔·弗拉蒙/雅克·贝汉,剧情/喜剧/音乐,法国 / 瑞士 / 德国,法语,2004-10-16(中国大陆)/2021(中国大陆重映)/2004-03-17(法国),97分钟,歌声伴我心(港) / 唱诗班男孩 / The Chorus,tt0372824,9.3
无间道 無間道(2002),刘伟强麦兆辉,麦兆辉/庄文强,刘德华/梁朝伟/黄秋生/曾志伟/郑秀文/陈慧琳/陈冠希/余文乐/杜汶泽/林家栋/萧亚轩,剧情/惊悚/犯罪,中国香港,粤语,2003-09-05(中国大陆)/2002-12-12(中国香港),101分钟,Infernal Affairs / Mou gaan dou,tt0338564,9.3
疯狂动物城 Zootopia(2016),拜伦·霍华德瑞奇·摩尔杰拉德·布什,拜伦·霍华德/瑞奇·摩尔/杰拉德·布什/吉姆·里尔顿/乔西·特立尼达/菲尔·约翰斯顿/珍妮弗·李,金妮弗·古德温/杰森·贝特曼/伊德里斯·艾尔巴/珍妮·斯蕾特/内特·托伦斯/邦尼·亨特/唐·雷克/汤米·钟/J·K·西蒙斯/奥克塔维亚·斯宾瑟/艾伦·图代克/夏奇拉/雷蒙德·S·佩尔西/德拉·萨巴/莫里斯·拉马奇/菲尔·约翰斯顿/约翰·迪·马吉欧/凯蒂·洛斯/吉塔·雷迪/杰西·科尔蒂/汤米·利斯特/乔希·达拉斯/瑞奇·摩尔/凯斯·索西/彼得·曼斯布里奇/拜伦·霍华德/杰拉德·布什/马克·史密斯/乔西·特立尼达/约翰·拉维尔/克里斯汀·贝尔/吉尔·科德斯/梅利莎·古德温,喜剧/动画/冒险,美国,英语 / 挪威语,2016-03-04(中国大陆/美国)/2020-07-24(中国大陆重映),109分钟(中国大陆),优兽大都会(港) / 动物方城市(台) / 动物乌托邦 / 动物大都会 / Zootropolis,tt2948356,9.2
大话西游之大圣娶亲 西遊記大結局之仙履奇緣(1995),刘镇伟,刘镇伟,周星驰/吴孟达/朱茵/蔡少芬/蓝洁瑛/莫文蔚/罗家英/刘镇伟/陆树铭/李健仁,喜剧/爱情/奇幻/古装,中国香港 / 中国大陆,粤语 / 汉语普通话,2014-10-24(中国大陆)/2017-04-13(中国大陆重映)/1995-02-04(中国香港),95分钟,西游记完结篇仙履奇缘 / 齐天大圣西游记 / 大话东游之二 / A Chinese Odyssey Part Two - Cinderella / 大话西游之大圣娶妻,tt0114996,9.2
熔炉 도가니(2011),黄东赫,黄东赫/孔枝泳,孔刘/郑有美/金贤秀/郑仁絮/白承焕/张光/金民尚/林贤成/金周灵/严孝燮/全国焕/崔镇浩/金志映/严智星/许在浩/张素妍,剧情,韩国,韩语,2011-09-22(韩国),125分钟,无声呐喊(港) / 漩涡 / Silenced / The Crucible,tt2070649,9.3
教父 The Godfather(1972),弗朗西斯·福特·科波拉,马里奥·普佐/弗朗西斯·福特·科波拉,马龙·白兰度/阿尔·帕西诺/詹姆斯·肯恩/理查德·卡斯特尔诺/罗伯特·杜瓦尔/斯特林·海登/约翰·马利/理查德·康特/艾尔·勒提埃里/黛安·基顿/阿贝·维高达/塔莉娅·夏尔/吉亚尼·罗素/约翰·凯泽尔/鲁迪·邦德/兰尼·蒙大拿,剧情/犯罪,美国,英语 / 意大利语 / 拉丁语,1972-03-15(纽约首映)/1972-03-24(美国),175 分钟,Mario Puzo's The Godfather,tt0068646,9.3
当幸福来敲门 The Pursuit of Happyness(2006),加布里埃莱·穆奇诺,斯蒂夫·康拉德,威尔·史密斯/贾登·史密斯/坦迪·牛顿/布莱恩·豪威/詹姆斯·凯伦/丹·卡斯泰兰尼塔/柯特·富勒/塔卡尤·费舍尔/凯文·韦斯特/乔治·张/戴维·迈克尔·西尔弗曼/多米尼克·博夫/杰弗·卡伦/乔伊芙·拉文/斯科特·克拉斯,剧情/家庭/传记,美国,英语 / 粤语,2008-01-17(中国大陆)/2020-07-20(中国大陆重映)/2006-12-15(美国),117分钟,寻找快乐的故事(港) / 追求快乐 / 幸福追击 / The Pursuit of Happiness,tt0454921,9.1
龙猫 となりのトトロ(1988),宫崎骏,宫崎骏,日高法子/坂本千夏/糸井重里/岛本须美/北林谷荣/高木均/雨笠利幸/丸山裕子/广濑正志/鹫尾真知子/铃木玲子/千叶繁/龙田直树/鳕子/西村朋纮/石田光子/神代知衣/中村大树/水谷优子/平松晶子/大谷育江,动画/奇幻/冒险,日本,日语,2018-12-14(中国大陆)/1988-04-16(日本),86分钟,邻居托托罗 / 邻家的豆豆龙 / 隔壁的特特罗 / Tonari no Totoro / My Neighbor Totoro,tt0096283,9.2
怦然心动 Flipped(2010),罗伯·莱纳,罗伯·莱纳/安德鲁·沙因曼/文德琳·范·德拉安南,玛德琳·卡罗尔/卡兰·麦克奥利菲/瑞贝卡·德·莫妮/安东尼·爱德华兹/约翰·马奥尼/佩内洛普·安·米勒/艾丹·奎因/凯文·韦斯曼/摩根·莉莉/瑞安·克茨纳/吉莉安·普法夫/迈克尔·博萨/博·勒纳/杰奎琳·埃沃拉/泰勒·格鲁秀斯/艾莉·布莱恩特/阿什莉·泰勒/伊瑟尔·布罗萨德/科迪·霍恩/迈克尔·博尔顿/肖恩·哈珀/斯戴芬妮·斯考特/帕特丽夏·伦茨/马修·戈尔德/阿罗拉·凯瑟琳·史密斯/凯莉·唐纳利/索菲亚·撒高/米歇尔·梅斯默/斯科特·乔尔·吉兹基/罗德·迈尔斯/卡拉 帕西托/凯特琳·帕西托,剧情/喜剧/爱情,美国,英语,2010-07-26(好莱坞首映)/2010-09-10(美国),90分钟,萌动青春 / 青春萌动 / 冒失 / 梧桐树之恋,tt0817177,9.1
控方证人 Witness for the Prosecution(1957),比利·怀德,阿加莎·克里斯蒂/比利·怀德/哈里·库尼兹,泰隆·鲍华/玛琳·黛德丽/查尔斯·劳顿/爱尔莎·兰切斯特/约翰·威廉姆斯/亨利·丹尼尔/伊安·沃尔夫/托林·撒切尔/诺玛·威登/尤娜·奥康纳/茹塔·李,剧情/悬疑/犯罪,美国,英语 / 德语,1957-12-17(美国),116分钟,雄才伟略 / 情妇,tt0051201,9.6
触不可及 Intouchables(2011),奥利维埃·纳卡什埃里克·托莱达诺,奥利维埃·纳卡什/埃里克·托莱达诺,弗朗索瓦·克鲁塞/奥玛·希/安娜·勒尼/奥德雷·弗勒罗/托马·索利韦尔,剧情/喜剧,法国,法语,2011-11-02(法国),112分钟,闪亮人生(港) / 逆转人生(台) / 无法触碰 / 最佳拍档 / 不可触碰 / 不可触摸 / Untouchable / The Intouchables,tt1675434,9.3
末代皇帝 The Last Emperor(1987),贝纳尔多·贝托鲁奇,贝纳尔多·贝托鲁奇/马克·派普罗,尊龙/陈冲/邬君梅/彼得·奥图尔/英若诚/吴涛/黄自强/丹尼斯·邓/坂本龙一/马吉·汉/里克·扬/田川洋行/苟杰德/理查德·吴/皱缇格/陈凯歌/卢燕/区亨利/陈述/鲍皓昕/黄文捷/邵茹贞/亨利·基/张良斌/梁冬/康斯坦丁·格雷戈里/黄汉琪/王涛/宋怀桂/蔡鸿翔/程淑艳/张天民,剧情/传记/历史,英国 / 意大利 / 中国大陆 / 法国,英语 / 汉语普通话 / 日语,1987-10-04(东京国际电影节)/1987-10-23(意大利),163分钟,末代皇帝溥仪(港),tt0093389,9.3
蝙蝠侠：黑暗骑士 The Dark Knight(2008),克里斯托弗·诺兰,乔纳森·诺兰/克里斯托弗·诺兰/大卫·S·高耶,克里斯蒂安·贝尔/希斯·莱杰/艾伦·艾克哈特/迈克尔·凯恩/玛吉·吉伦哈尔/加里·奥德曼/摩根·弗里曼/莫尼克·加布里埃拉·库尔内/罗恩·迪恩/基里安·墨菲/黄经汉/内斯特·卡博内尔/埃里克·罗伯茨/里特奇·科斯特/安东尼·迈克尔·豪尔/基斯·斯扎拉巴基克/柯林·麦克法兰/约书亚·哈尔托/美琳达·麦格劳/内森·甘宝/迈克尔·维约/迈克尔·斯托扬诺夫/威廉·斯米利/丹尼·高德林/迈克尔·加·怀特/马修·奥尼尔/威廉·菲克纳/欧鲁米基·欧拉乌米/格雷格·比姆/爱利克·赫尔曼/毕崔斯·罗森/文森佐·尼克力/陈冠希,剧情/动作/科幻/惊悚/犯罪,美国 / 英国,英语 / 汉语普通话,2008-07-14(纽约首映)/2008-07-18(美国),152分钟, The Dark Knight / TDK,tt0468569,9.2
寻梦环游记 Coco(2017),李·昂克里奇阿德里安·莫利纳,阿德里安·莫利纳/马修·奥尔德里奇/李·昂克里奇/詹森·卡茨,安东尼·冈萨雷斯/盖尔·加西亚·贝纳尔/本杰明·布拉特/阿兰娜·乌巴赫/芮妮·维克托/杰米·卡米尔/阿方索·阿雷奥/赫伯特·西古恩萨/加布里埃尔·伊格莱西亚斯/隆巴多·博伊尔/安娜·奥菲丽亚·莫吉亚/娜塔丽·科尔多瓦/赛琳娜·露娜/爱德华·詹姆斯·奥莫斯/索菲亚·伊斯皮诺萨/卡拉·梅迪纳/黛娅娜·欧特里/路易斯·瓦尔德斯/布兰卡·阿拉切利/萨尔瓦多·雷耶斯/切奇·马林/奥克塔维·索利斯/约翰·拉岑贝格,喜剧/动画/音乐/奇幻,美国,英语 / 西班牙语,2017-11-24(中国大陆)/2020-07-20(中国大陆重映)/2017-11-22(美国),105分钟,玩转极乐园(港) / 可可夜总会(台) / 亡灵总动员(豆友译名) / 冥冥之中(豆友译名) / 墨西哥亡灵节 / 可可,tt2380307,9.1
活着(1994),张艺谋,芦苇/余华,葛优/巩俐/姜武/牛犇/郭涛/张璐/倪大红/肖聪/董飞/刘天池/董立范/黄宗洛/刘燕瑾/李连义/杨同顺,剧情/家庭/历史,中国大陆 / 中国香港,汉语普通话,1994-06-30(中国香港)/1994-05-17(戛纳电影节),132分钟,人生 / Lifetimes / To Live,tt0110081,9.3
指环王3：王者无敌 The Lord of the Rings: The Return of the King(2003),彼得·杰克逊,弗兰·威尔士/菲利帕·鲍恩斯/彼得·杰克逊/J. R. R. 托尔金,伊利亚·伍德/西恩·奥斯汀/维果·莫腾森/奥兰多·布鲁姆/伊恩·麦克莱恩/肖恩·宾/多米尼克·莫纳汉/丽芙·泰勒/约翰·贝西/凯特·布兰切特/比利·博伊德/萨德文·布罗菲/阿利斯泰尔·布朗宁/马尔顿·索克斯/伯纳德·希尔/伊安·霍姆/布鲁斯·霍普金斯/Ian Hughes/劳伦斯·马克奥雷/诺埃尔·阿普利比/布雷特·麦肯齐/Alexandra Astin/Sarah McLeod/Maisy McLeod-Riera/约翰·诺贝尔/Paul Norell/米兰达·奥图/布鲁斯·菲利普斯/沙恩·朗吉/约翰·瑞斯-戴维斯/Todd Rippon/安迪·瑟金斯/Harry Sinclair/乔尔·托贝克/卡尔·厄本/史蒂芬·乌瑞/雨果·维文/大卫·文翰/阿兰·霍华德/萨拉·贝克/Robert Pollock/佩特·史密斯/杰德·布罗菲/菲利普·格里夫/布拉德·道里夫/克里斯托弗·李/布鲁斯·斯宾斯/吉诺·阿赛维多/Jarl Benzon/Jørn Benzon/Robert Catto/Michael Elsworth/彼得·杰克逊/Sandro Kopp/安德鲁·莱斯尼/约瑟夫·米卡-亨特/亨利·莫腾森/克雷格·帕克/克里斯蒂安·瑞沃斯/迈克尔·斯曼内科/霍华德·肖/约翰·斯蒂芬森/理查德·泰勒,剧情/动作/奇幻/冒险,美国 / 新西兰,英语 / 昆雅语 / 古英语 / 辛达林语,2004-03-12(中国大陆)/2021-05-14(中国大陆重映)/2003-12-17(美国),201分钟,魔戒三部曲：王者再临(台/港) / 指环王III：王者无敌 / 魔戒3：王者归来 / 指环王3：国王归来 / 指环王3：皇上回宫(豆友译名),tt0167260,9.3
哈利·波特与魔法石 Harry Potter and the Sorcerer's Stone(2001),克里斯·哥伦布,史蒂夫·克洛夫斯/J·K·罗琳,丹尼尔·雷德克里夫/艾玛·沃森/鲁伯特·格林特/艾伦·瑞克曼/玛吉·史密斯/汤姆·费尔顿/伊恩·哈特/理查德·哈里斯/约翰·赫特/罗彼·考特拉尼/朱丽·沃特斯/邦妮·怀特/约翰·克里斯/肖恩·比格斯代夫,奇幻/冒险,美国 / 英国,英语,2002-01-26(中国大陆)/2020-08-14(中国大陆重映)/2001-11-04(英国首映)/2001-11-16(美国),152分钟,哈利波特1：神秘的魔法石(港/台) / 哈1 / Harry Potter and the Philosopher's Stone,tt0241527,9.1
乱世佳人 Gone with the Wind(1939),维克多·弗莱明乔治·库克山姆·伍德,玛格丽特·米歇尔/西德尼·霍华德/奥利弗·H·P·加勒特/本·赫克特/乔·斯沃林/约翰·范·德鲁登,费雯·丽/克拉克·盖博/奥利维娅·德哈维兰/托马斯·米切尔/芭芭拉·欧内尔/伊夫林·凯耶斯/安·卢瑟福德/乔治·里弗斯/弗莱德·克莱恩/海蒂·麦克丹尼尔斯/奥斯卡·波尔克/巴特弗莱·麦昆/维克托·乔里/埃弗雷特·布朗/霍华德·C·希克曼/艾丽西亚·瑞特/莱斯利·霍华德/兰德·布鲁克斯/卡洛尔·奈/劳拉·霍普·克鲁斯/埃迪·安德森/哈里·达文波特/利昂娜·罗伯特/简·达威尔/欧娜·满森/保罗·赫斯特/伊莎贝尔·朱尔/卡米·金·肯伦/艾瑞克·林登/J·M·克里根/沃德·邦德/莉莲·肯布尔-库珀,剧情/爱情/历史/战争,美国,英语,1939-12-15(亚特兰大首映)/1940-01-17(美国),238分钟,飘,tt0031381,9.3
何以为家 كفرناحوم(2018),娜丁·拉巴基,娜丁·拉巴基/吉哈德·霍加里/米歇尔·凯斯沃尼/乔治斯·哈巴兹/哈立德·穆扎纳,赞恩·阿尔·拉菲亚/约丹诺斯·希费罗/博鲁瓦蒂夫·特雷杰·班科尔/卡萨尔·艾尔·哈达德/法迪·尤瑟夫/海塔·塞德拉·伊扎姆/阿拉·乔什涅/娜丁·拉巴基/埃利亚斯·库利/努尔·艾尔·侯赛尼,剧情,黎巴嫩 / 美国 / 法国 / 塞浦路斯 / 卡塔尔 / 英国,阿拉伯语 / 阿姆哈拉语,2019-04-29(中国大陆)/2018-05-17(戛纳电影节)/2018-09-20(黎巴嫩),126分钟,迦百农 / 星仔打官司(港) / 我想有个家(台) / Cafarnaúm / Capernaum / Capharnaüm,tt8267604,9.1
